classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
wombat,22,"['computer mouse', 'oil filter', 'wallaby', 'koala', 'sea lion']","[0.1, 0.08, 0.04, 0.04, 0.04]",0.5929270612815714,0.24,0.571,0.24,0.0,0.406,106,75
jellyfish,8,"['oil filter', 'lighter', 'electric ray', 'stingray', 'sea cucumber']","[0.1, 0.04, 0.02, 0.02, 0.02]",1.290994448735805,0.74,0.712,0.74,0.001,0.726,107,797
sea anemone,7,"['coral reef', 'clownfish', 'oil filter', 'starfish', 'sea urchin']","[0.16, 0.06, 0.06, 0.02, 0.02]",1.0627434040712462,0.64,0.464,0.64,0.001,0.552,108,529
brain coral,9,"['electric ray', 'coral reef', 'sea snake', 'sea anemone', 'eel']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7799999999999999,0.672,0.78,0.001,0.726,109,121
flatworm,14,"['sea slug', 'centipede', 'jellyfish', 'coral reef', 'worm snake']","[0.18, 0.04, 0.04, 0.04, 0.02]",1.431697254637636,0.5,0.676,0.5,0.001,0.588,110,119
nematode,16,"['lighter', 'oil filter', 'vine snake', 'digital clock', 'wallet']","[0.3999999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.4565472846013432,0.18,0.474,0.18,0.0,0.327,111,29
conch,14,"['oil filter', 'snail', 'hermit crab', 'ant', 'corn cob']","[0.2399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.4999999999999996,0.42,0.778,0.42,0.001,0.599,112,256
snail,9,"['slug', 'oil filter', 'dung beetle', 'ant', 'armadillo']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.7600000000000001,0.447,0.76,0.002,0.604,113,704
slug,12,"['mushroom', 'snail', 'oil filter', 'banana', 'spotted salamander']","[0.1, 0.08, 0.06, 0.04, 0.02]",0.0,0.5599999999999999,0.459,0.56,0.001,0.51,114,254
sea slug,11,"['coral reef', 'sea cucumber', 'flatworm', 'starfish', 'coral fungus']","[0.18, 0.1, 0.08, 0.06, 0.04]",0.8978957037987324,0.42,0.568,0.42,0.001,0.494,115,166
chiton,28,"['coral reef', 'oil filter', 'starfish', 'trilobite', 'centipede']","[0.1199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",0.7301958930821604,0.1399999999999999,0.7,0.14,0.0,0.42,116,50
chambered nautilus,11,"['oil filter', 'coral reef', 'african rock python', 'jellyfish', 'flatworm']","[0.12, 0.04, 0.02, 0.02, 0.02]",1.362792753035554,0.66,0.892,0.66,0.001,0.776,117,198
dungeness crab,14,"['rock crab', 'oil filter', 'lemon', 'american lobster', 'garter snake']","[0.4800000000000001, 0.08, 0.08, 0.04, 0.02]",1.4310654631894486,0.12,0.857,0.12,0.0,0.488,118,51
rock crab,23,"['hermit crab', 'oil filter', 'fiddler crab', 'centipede', 'crayfish']","[0.1, 0.1, 0.08, 0.04, 0.04]",-0.2115471544831132,0.26,0.191,0.26,0.001,0.226,119,181
fiddler crab,14,"['rock crab', 'oil filter', 'american lobster', 'crayfish', 'scorpion']","[0.2799999999999999, 0.08, 0.06, 0.06, 0.04]",1.4246292542014547,0.2799999999999999,0.609,0.28,0.0,0.444,120,25
red king crab,15,"['oil filter', 'hot dog', 'rock crab', 'frying pan', 'pretzel']","[0.06, 0.06, 0.04, 0.04, 0.04]",0.4082482904638629,0.54,0.643,0.54,0.001,0.592,121,71
american lobster,11,"['crayfish', 'oil filter', 'spiny lobster', 'rock crab', 'red king crab']","[0.12, 0.08, 0.06, 0.04, 0.04]",0.7301958930821596,0.54,0.587,0.54,0.001,0.564,122,129
spiny lobster,12,"['oil filter', 'lionfish', 'centipede', 'red king crab', 'crayfish']","[0.1199999999999999, 0.0999999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",0.5929270612815708,0.4399999999999999,0.468,0.44,0.001,0.454,123,30
