classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
ram adult male sheep,20,"['bighorn sheep', 'spotlight', 'kuvasz', 'leonberger', 'alpine ibex']","[0.2999999999999999, 0.1, 0.04, 0.04, 0.04]",1.3199937375770605,0.1399999999999999,0.636,0.14,0.0,0.388,348,348,1300
bighorn sheep,16,"['alpine ibex', 'spotlight', 'teddy bear', 'australian kelpie', 'lion']","[0.12, 0.04, 0.04, 0.02, 0.02]",1.2864700617061366,0.54,0.248,0.54,0.002,0.394,349,349,1300
alpine ibex,12,"['bighorn sheep', 'mountain', 'newt', 'lion', 'ox']","[0.22, 0.08, 0.04, 0.02, 0.02]",1.214328672295399,0.48,0.333,0.48,0.001,0.406,350,350,1300
hartebeest,12,"['bighorn sheep', 'alpine ibex', 'water buffalo', 'shoji screen  room divider', 'ostrich']","[0.0999999999999999, 0.0799999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",0.3477670622469936,0.5799999999999998,0.547,0.58,0.001,0.564,351,351,1300
impala antelope,16,"['hartebeest', 'dingo', 'bighorn sheep', 'alpine ibex', 'bullock cart']","[0.26, 0.08, 0.06, 0.06, 0.04]",1.4093214976585609,0.2799999999999999,0.636,0.28,0.0,0.458,352,352,1300
gazelle,20,"['hartebeest', 'impala antelope', 'saluki', 'alpine ibex', 'arabian camel']","[0.16, 0.1399999999999999, 0.12, 0.1, 0.06]",-0.3958703373438168,0.06,0.75,0.06,0.0,0.405,353,353,1300
arabian camel,21,"['bullock cart', 'farm plow', 'lion', 'bighorn sheep', 'muzzle']","[0.12, 0.06, 0.04, 0.04, 0.04]",1.2909944487358058,0.36,0.254,0.36,0.001,0.307,354,354,1300
llama,24,"['arabian camel', 'spotlight', 'australian kelpie', 'ostrich', 'appenzeller sennenhund']","[0.1199999999999999, 0.1199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999]",0.2115471544831129,0.0799999999999999,0.4,0.08,0.0,0.24,355,355,1300
weasel,33,"['dhole', 'mitten', 'redbone coonhound', 'mongoose', 'black footed ferret']","[0.06, 0.06, 0.04, 0.04, 0.04]",0.4082482904638629,0.16,0.381,0.16,0.0,0.27,356,356,1300
mink,32,"['wombat', 'prison', 'american dipper', 'marmot', 'duck']","[0.1, 0.08, 0.06, 0.06, 0.04]",0.2715454178836392,0.04,0.286,0.04,0.0,0.163,357,357,1300
european polecat,37,"['spotlight', 'white headed capuchin', 'weasel', 'brussels griffon', 'cardboard box  carton']","[0.1399999999999999, 0.08, 0.06, 0.04, 0.04]",0.9704949588309444,0.0,0.0,0.0,0.0,0.0,358,358,1300
black footed ferret,33,"['cardboard box  carton', 'spotlight', 'velvet fabric', 'wombat', 'norfolk terrier']","[0.0999999999999999, 0.0999999999999999, 0.0999999999999999, 0.0399999999999999, 0.0399999999999999]",-0.4082482904638636,0.0,0.0,0.0,0.0,0.0,359,359,1300
